Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon,Type,Connected_Road1,Connected_Road2,Connected_Road3
,Anarpara Bridge (L),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842,Bridge,,,
,Anarpara Bridge (R),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842,Bridge,,,
,ANARPUR BRIDGE(R),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842,Bridge,,,
,ANAR PURA BRIDGE(L),,,29.138,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5716306256965,90.6454159236842,Bridge,,,
,VITIKANDA - ANAR PUR CULVERT,,,29.842,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5660033956521,90.6486237247282,Bridge,,,
,Alipur bridge(R),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5591910296296,90.6557475703703,Bridge,,,
,Alipur bridge(L),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5591910296296,90.6557475703703,Bridge,,,
,ALI PURA P.C BRIDGE (RIGHT),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5591910296296,90.6557475703703,Bridge,,,
,ALIPURA BRIDGE (LEFT),,,30.908,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5591910296296,90.6557475703703,Bridge,,,
N1-10L,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162.0,30.936,LRP033,3664.0,36.271,5.335,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,road,['Z1063'],N1,,23.5590278,90.6559444,Intersection,Z1063,,
N1-10R,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right),LRP031,162.0,30.936,LRP033,3664.0,36.271,5.335,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,road,['Z1063'],N1,,23.5590278,90.6559444,Intersection,Z1063,,
,Bhaber char Bridge(R),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569,Bridge,,,
,Bhaber char Bridge(L),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569,Bridge,,,
,VOBAR CHAR (L),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569,Bridge,,,
,VOBAR CHAR BRIDGE(R),,,31.472,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5557082901265,90.6597414245569,Bridge,,,
,Baushia Bridge(R),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577,Bridge,,,
,Baushia Bridge(L),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577,Bridge,,,
,BOBARCHAR BRIDGE(L),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577,Bridge,,,
,BOBAIRCHAR BRIDGE(R),,,32.121,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5517421907216,90.6643538752577,Bridge,,,
,PURRANBUICHE BOX CULVERT,,,32.777,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5477377446428,90.6690554098214,Bridge,,,
,NOYAPARA,,,32.796,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5476246437499,90.669192065625,Bridge,,,
,Madhya Baushia Bridge(L),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125,Bridge,,,
,MADHAYA BAUSHIA BRIDGE(R),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125,Bridge,,,
,MADHAYA BAUSHIA(L),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125,Bridge,,,
,Madhya Baushia Bridge(R),,,33.591,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.54268543125,90.6748292125,Bridge,,,
,BOCTAR KANDI BOX CULVERT,,,34.111,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5393910168,90.6784577888,Bridge,,,
,.,,,35.181,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5327751898617,90.6858701078341,Bridge,,,
,Baushia bazar Bridge( L ),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5313996605222,90.68744892596,Bridge,,,
,Baushia bazar Bridge ( R ),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5313996605222,90.68744892596,Bridge,,,
,BORAKANDI BRIDGE(L),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5313996605222,90.68744892596,Bridge,,,
,CHAR BOWSHIA BRIDGE(R),,,35.408,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5313996605222,90.68744892596,Bridge,,,
,CHAR BOUSHEA (2),,,35.707,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5301519626506,90.6897951837349,Bridge,,,
N1-11L,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664.0,36.271,LRP033,5859.0,38.466,2.195,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,road,['Z1062'],N1,,23.529916,90.6952219,Intersection,Z1062,,
N1-11R,Daudkandi Bridge- Daudkandi Z1062 (Right),LRP033,3664.0,36.271,LRP033,5859.0,38.466,2.195,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,road,['Z1062'],N1,,23.529916,90.6952219,Intersection,Z1062,,
,Daudkandi Bridge.,,,37.01,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5303844733,90.7024402743,Bridge,,,
,Daud Kandi Bridge,,,37.01,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5303844733,90.7024402743,Bridge,,,
N1-12L,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859.0,38.466,LRP043,3119.0,45.388,6.922,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,road,"['Z1062', 'Z1053']",N1,,23.5314716,90.7172216,Intersection,Z1062,Z1053,
N1-12R,Daudkandi Z1062 - Pennai Z1053 (Right),LRP033,5859.0,38.466,LRP043,3119.0,45.388,6.922,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1062', 'Z1053']",N1,,23.5314716,90.7172216,Intersection,Z1062,Z1053,
,Baldhakhal Bridge,,,39.304,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5324186,90.7242807234,Bridge,,,
,BALDHA KHAL RCC GIDER BRIDGE,,,39.304,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5324186,90.7242807234,Bridge,,,
,MAIS PARA BOX CULVERT,,,39.86,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.5317587831999,90.7291780095,Bridge,,,
,SHAHID NAGIR,,,42.936,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5298050611,90.75825325,Bridge,,,
,Shahid Nagor Bridge,,,42.936,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5298050611,90.75825325,Bridge,,,
,SARKAR BARI CULVERT,,,45.164,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5307655282208,90.7800797251533,Bridge,,,
N1-13L,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119.0,45.388,LRP043,4955.0,47.224,1.836,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,road,"['Z1053', 'Z1044']",N1,,23.530666,90.7821938,Intersection,Z1053,Z1044,
N1-13R,Pennai Z1053- Gouripur (Int.with Z1044) (Right),LRP043,3119.0,45.388,LRP043,4955.0,47.224,1.836,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,road,"['Z1053', 'Z1044']",N1,,23.530666,90.7821938,Intersection,Z1053,Z1044,
,AMIRABATH SLAB CULVERT,,,46.871,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.5308683409424,90.7918075171727,Bridge,,,
